AC,PC,District,Code
Valmiki Nagar,Valmiki Nagar,Pashchim Champaran,BR
Ramnagar ,Valmiki Nagar,Pashchim Champaran,BR
Narkatiaganj,Valmiki Nagar,Pashchim Champaran,BR
Bagaha,Valmiki Nagar,Pashchim Champaran,BR
Lauriya,Valmiki Nagar,Pashchim Champaran,BR
Nautan,Paschim Champaran,Pashchim Champaran,BR
Chanpatia,Paschim Champaran,Pashchim Champaran,BR
Bettiah,Paschim Champaran,Pashchim Champaran,BR
Sikta,Valmiki Nagar,Pashchim Champaran,BR
Raxaul,Paschim Champaran,Purba Champaran,BR
Sugauli,Paschim Champaran,Purba Champaran,BR
Narkatia,Paschim Champaran,Purba Champaran,BR
Harsidhi ,Purvi Champaran,Purba Champaran,BR
Govindganj,Purvi Champaran,Purba Champaran,BR
Kesaria,Purvi Champaran,Purba Champaran,BR
Kalyanpur,Purvi Champaran,Purba Champaran,BR
Pipra,Purvi Champaran,Purba Champaran,BR
Madhuban,Sheohar,Purba Champaran,BR
Motihari,Purvi Champaran,Purba Champaran,BR
Chiraia,Sheohar,Purba Champaran,BR
Dhaka,Sheohar,Purba Champaran,BR
Sheohar,Sheohar,Sheohar,BR
Riga,Sheohar,Sitamarhi,BR
Bathnaha ,Sitamarhi,Sitamarhi,BR
Parihar,Sitamarhi,Sitamarhi,BR
Sursand,Sitamarhi,Sitamarhi,BR
Bajpatti,Sitamarhi,Sitamarhi,BR
Sitamarhi,Sitamarhi,Sitamarhi,BR
Runnisaidpur,Sitamarhi,Sitamarhi,BR
Belsand,Sheohar,Sitamarhi,BR
Harlakhi,Madhubani,Madhubani,BR
Benipatti,Madhubani,Madhubani,BR
Khajauli,Jhanjharpur,Madhubani,BR
Babubarhi,Jhanjharpur,Madhubani,BR
Bisfi,Madhubani,Madhubani,BR
Madhubani,Madhubani,Madhubani,BR
Rajnagar ,Jhanjharpur,Madhubani,BR
Jhanjharpur,Jhanjharpur,Madhubani,BR
Phulparas,Jhanjharpur,Madhubani,BR
Laukaha,Jhanjharpur,Madhubani,BR
Nirmali,Supaul,Supaul,BR
Pipra,Supaul,Supaul,BR
Supaul,Supaul,Supaul,BR
Triveniganj ,Supaul,Supaul,BR
Chhatapur,Supaul,Supaul,BR
Narpatganj,Araria,Araria,BR
Raniganj ,Araria,Araria,BR
Forbesganj,Araria,Araria,BR
Araria,Araria,Araria,BR
Jokihat,Araria,Araria,BR
Sikti,Araria,Araria,BR
Bahadurganj,Kishanganj,Kishanganj,BR
Thakurganj,Kishanganj,Kishanganj,BR
Kishanganj,Kishanganj,Kishanganj,BR
Kochadhaman,Kishanganj,Kishanganj,BR
Amour,Kishanganj,Purnia,BR
Baisi,Kishanganj,Purnia,BR
Kasba,Purnia,Purnia,BR
Banmankhi ,Purnia,Purnia,BR
Rupauli,Purnia,Purnia,BR
Dhamdaha,Purnia,Purnia,BR
Purnia,Purnia,Purnia,BR
Katihar,Katihar,Katihar,BR
Kadwa,Katihar,Katihar,BR
Balrampur,Katihar,Katihar,BR
Pranpur,Katihar,Katihar,BR
Manihari ,Katihar,Katihar,BR
Barari,Katihar,Katihar,BR
Korha ,Purnia,Katihar,BR
Alamnagar,Madhepura,Madhepura,BR
Bihariganj,Madhepura,Madhepura,BR
Singheshwar ,Supaul,Madhepura,BR
Madhepura,Madhepura,Madhepura,BR
Sonbarsha ,Madhepura,Saharsa,BR
Saharsa,Madhepura,Saharsa,BR
Simri Bakhtiarpur,Khagaria,Saharsa,BR
Mahishi,Madhepura,Saharsa,BR
Kusheshwar Asthan ,Samastipur,Darbhanga,BR
Gaura Bauram,Darbhanga,Darbhanga,BR
Benipur,Darbhanga,Darbhanga,BR
Alinagar,Darbhanga,Darbhanga,BR
Darbhanga Rural,Darbhanga,Darbhanga,BR
Darbhanga,Darbhanga,Darbhanga,BR
Hayaghat,Samastipur,Darbhanga,BR
Bahadurpur,Darbhanga,Darbhanga,BR
Keoti,Madhubani,Darbhanga,BR
Jale,Madhubani,Darbhanga,BR
Gaighat,Muzaffarpur,Muzaffarpur,BR
Aurai,Muzaffarpur,Muzaffarpur,BR
Minapur,Vaishali,Muzaffarpur,BR
Bochaha ,Muzaffarpur,Muzaffarpur,BR
Sakra ,Muzaffarpur,Muzaffarpur,BR
Kurhani,Muzaffarpur,Muzaffarpur,BR
Muzaffarpur,Muzaffarpur,Muzaffarpur,BR
Kanti,Vaishali,Muzaffarpur,BR
Baruraj,Vaishali,Muzaffarpur,BR
Paroo,Vaishali,Muzaffarpur,BR
Sahebganj,Vaishali,Muzaffarpur,BR
Baikunthpur,Gopalganj,Gopalganj,BR
Barauli,Gopalganj,Gopalganj,BR
Gopalganj,Gopalganj,Gopalganj,BR
Kuchaikote,Gopalganj,Gopalganj,BR
Bhorey ,Gopalganj,Gopalganj,BR
Hathua,Gopalganj,Gopalganj,BR
Siwan,Siwan,Siwan,BR
Ziradei,Siwan,Siwan,BR
Darauli ,Siwan,Siwan,BR
Raghunathpur,Siwan,Siwan,BR
Daraundha,Siwan,Siwan,BR
Barharia,Siwan,Siwan,BR
Goriakothi,Maharajganj,Siwan,BR
Maharajganj,Maharajganj,Siwan,BR
Ekma,Maharajganj,Saran,BR
Manjhi,Maharajganj,Saran,BR
Baniapur,Maharajganj,Saran,BR
Taraiya,Maharajganj,Saran,BR
Marhaura,Saran,Saran,BR
Chapra,Saran,Saran,BR
Garkha ,Saran,Saran,BR
Amnour,Saran,Saran,BR
Parsa,Saran,Saran,BR
Sonepur,Saran,Saran,BR
Hajipur,Hajipur,Vaishali,BR
Lalganj,Hajipur,Vaishali,BR
Vaishali,Vaishali,Vaishali,BR
Mahua,Hajipur,Vaishali,BR
Raja Pakar ,Hajipur,Vaishali,BR
Raghopur,Hajipur,Vaishali,BR
Mahnar,Hajipur,Vaishali,BR
Patepur ,Ujiarpur,Vaishali,BR
Kalyanpur ,Samastipur,Samastipur,BR
Warisnagar,Samastipur,Samastipur,BR
Samastipur,Samastipur,Samastipur,BR
Ujiarpur,Ujiarpur,Samastipur,BR
Morwa,Ujiarpur,Samastipur,BR
Sarairanjan,Ujiarpur,Samastipur,BR
Mohiuddinnagar,Ujiarpur,Samastipur,BR
Bibhutipur,Ujiarpur,Samastipur,BR
Rosera ,Samastipur,Samastipur,BR
Hasanpur,Khagaria,Samastipur,BR
Cheria Bariarpur,Begusarai,Begusarai,BR
Bachhwara,Begusarai,Begusarai,BR
Teghra,Begusarai,Begusarai,BR
Matihani,Begusarai,Begusarai,BR
Sahebpur Kamal,Begusarai,Begusarai,BR
Begusarai,Begusarai,Begusarai,BR
Bakhri ,Begusarai,Begusarai,BR
Alauli ,Khagaria,Khagaria,BR
Khagaria,Khagaria,Khagaria,BR
Beldaur,Khagaria,Khagaria,BR
Parbatta,Khagaria,Khagaria,BR
Bihpur,Bhagalpur,Bhagalpur,BR
Gopalpur,Bhagalpur,Bhagalpur,BR
Pirpainti ,Bhagalpur,Bhagalpur,BR
Kahalgaon,Bhagalpur,Bhagalpur,BR
Bhagalpur,Bhagalpur,Bhagalpur,BR
Sultanganj,Banka,Bhagalpur,BR
Nathnagar,Bhagalpur,Bhagalpur,BR
Amarpur,Banka,Banka,BR
Dhauraiya ,Banka,Banka,BR
Banka,Banka,Banka,BR
Katoria ,Banka,Banka,BR
Belhar,Banka,Banka,BR
Tarapur,Jamui,Munger,BR
Munger,Munger,Munger,BR
Jamalpur,Munger,Munger,BR
Suryagarha,Munger,Lakhisarai,BR
Lakhisarai,Munger,Lakhisarai,BR
Sheikhpura,Jamui,Sheikhpura,BR
Barbigha,Nawada,Sheikhpura,BR
Asthawan,Nalanda,Nalanda,BR
Biharsharif,Nalanda,Nalanda,BR
Rajgir ,Nalanda,Nalanda,BR
Islampur,Nalanda,Nalanda,BR
Hilsa,Nalanda,Nalanda,BR
Nalanda,Nalanda,Nalanda,BR
Harnaut,Nalanda,Nalanda,BR
Mokama,Munger,Patna,BR
Barh,Munger,Patna,BR
Bakhtiarpur,Patna Sahib,Patna,BR
Digha,Patna Sahib,Patna,BR
Bankipur,Patna Sahib,Patna,BR
Kumhrar,Patna Sahib,Patna,BR
Patna Sahib,Patna Sahib,Patna,BR
Fatuha,Patna Sahib,Patna,BR
Danapur,Pataliputra,Patna,BR
Maner,Pataliputra,Patna,BR
Phulwari ,Pataliputra,Patna,BR
Masaurhi ,Pataliputra,Patna,BR
Paliganj,Pataliputra,Patna,BR
Bikram,Pataliputra,Patna,BR
Sandesh,Arrah,Bhojpur,BR
Barhara,Arrah,Bhojpur,BR
Arrah,Arrah,Bhojpur,BR
Agiaon ,Arrah,Bhojpur,BR
Tarari,Arrah,Bhojpur,BR
Jagdishpur,Arrah,Bhojpur,BR
Shahpur,Arrah,Bhojpur,BR
Brahampur,Buxar,Buxar,BR
Buxar,Buxar,Buxar,BR
Dumraon,Buxar,Buxar,BR
Rajpur ,Buxar,Buxar,BR
Ramgarh,Buxar,Kaimur (Bhabua),BR
Mohania ,Sasaram,Kaimur (Bhabua),BR
Bhabua,Sasaram,Kaimur (Bhabua),BR
Chainpur,Sasaram,Kaimur (Bhabua),BR
Chenari ,Sasaram,Rohtas,BR
Sasaram,Sasaram,Rohtas,BR
Kargahar,Sasaram,Rohtas,BR
Dinara,Buxar,Rohtas,BR
Nokha,Karakat,Rohtas,BR
Dehri,Karakat,Rohtas,BR
Karakat,Karakat,Rohtas,BR
Arwal,Jahanabad,Arwal,BR
Kurtha,Jahanabad,Arwal,BR
Jahanabad,Jahanabad,Jehanabad,BR
Ghosi,Jahanabad,Jehanabad,BR
Makhadumapur ,Jahanabad,Jehanabad,BR
Goh,Karakat,Aurangabad,BR
Obra,Karakat,Aurangabad,BR
Nabinagar,Karakat,Aurangabad,BR
Kutumba ,Aurangabad,Aurangabad,BR
Aurangabad,Aurangabad,Aurangabad,BR
Rafiganj,Aurangabad,Aurangabad,BR
Gurua,Aurangabad,Gaya,BR
Sherghati,Gaya,Gaya,BR
Imamganj ,Aurangabad,Gaya,BR
Barachatti ,Gaya,Gaya,BR
Bodh Gaya ,Gaya,Gaya,BR
Gaya Town,Gaya,Gaya,BR
Tikari,Aurangabad,Gaya,BR
Belaganj,Gaya,Gaya,BR
Atri,Jahanabad,Gaya,BR
Wazirganj,Gaya,Gaya,BR
Rajauli ,Nawada,Nawada,BR
Hisua,Nawada,Nawada,BR
Nawada,Nawada,Nawada,BR
Gobindpur,Nawada,Nawada,BR
Warsaliganj,Nawada,Nawada,BR
Sikandra ,Jamui,Jamui,BR
Jamui,Jamui,Jamui,BR
Jhajha,Jamui,Jamui,BR
Chakai,Jamui,Jamui,BR