name,abbreviation,states/ut,symbol,image_url
All India Trinamool Congress,AITC,"36G Tapsia Road, Kolkata-700039, (West Bengal)",Flowers & grass,https://www.strongspace.com/shared/vy3lf48wvn
Bahujan Samaj Party,BSP,"12, Gurudwara Rakabganj Road, New Delhi-11000, (Delhi)",Elephant,https://www.strongspace.com/shared/lt5sotmhsj
Bharatiya Janata Party,BJP,"11 Ashoka Road,New Delhi-11000, (Delhi)",Lotus,https://www.strongspace.com/shared/uszmbo535r
Communist Party of India,CPI,"Indrajit Gupta Marg, New Delhi-110002, (Delhi)",Ears of corn and sickle,https://www.strongspace.com/shared/2e4gfjcnxr
Communist Party of India (Marxist),CPI-M,"Bhai Vir Singh Marg, []New Delhi]]-110 001, (Delhi)",Hammer sickle and star,https://www.strongspace.com/shared/s4yovfcyx6
Indian National Congress,INC,"10, Bishmabhar Marg, New Delhi-110001, (Delhi)",Hand,https://www.strongspace.com/shared/n0qsl23rdm
Nationalist Congress Party,NCP,"10, Bishmabhar Marg, New Delhi-110001, (Delhi)",Clock,https://www.strongspace.com/shared/280mgcesnf
Aam Aadmi Party,AAP,"Delhi, Punjab",Broom,https://www.strongspace.com/shared/tijc21ynte
All India Anna Dravida Munnetra Kazhagam,AIADMK,"Tamil Nadu, Puducherry",Two leaves,https://www.strongspace.com/shared/gbxuot9lw6
All India Forward Bloc,AIFB,West Bengal,Lion,https://www.strongspace.com/shared/u4bk8lzhlz
All India Majlis-e-Ittehadul Muslimeen,AIMIM,Telangana,Kite,https://www.strongspace.com/shared/g6wik996cm
All India N.R. Congress,AINRC,Puducherry,Jug,https://www.strongspace.com/shared/m0ck9jt8im
All India United Democratic Front,AIUDF,Assam,Lock and key,https://www.strongspace.com/shared/py46trwhfp
All Jharkhand Students Union,AJSU,Jharkhand,Banana,https://www.strongspace.com/shared/py46trwhfp
Asom Gana Parishad,AGP,Assam,Elephant,https://www.strongspace.com/shared/meivg0i2eg
Biju Janata Dal,BJD,Odisha,Conch,https://www.strongspace.com/shared/rs6vjse84v
Bodoland People's Front,BPF,Assam,Nagol,https://www.strongspace.com/shared/3cw37c6lvf
Desiya Murpokku Dravida Kazhagam,DMDK,Tamil Nadu,Nagara,https://www.strongspace.com/shared/202d0o7z3z
Dravida Munnetra Kazhagam,DMK,"Tamil Nadu, Puducherry",Rising sun,https://www.strongspace.com/shared/ltaxp2zrw9
Goa Forward Party,GFP,Goa,Coconut,https://www.strongspace.com/shared/hn3g7p95w6
Hill State People's Democratic Party,HSPDP,Meghalaya,Lion,https://www.strongspace.com/shared/gmaip01juw
Indian National Lok Dal,INLD,Haryana,Spectacles,https://www.strongspace.com/shared/chdjjp2lhh
Indian Union Muslim League,IUML,Kerala,Ladder,https://www.strongspace.com/shared/zfbwac8q8y
Jammu & Kashmir National Conference,JKNC,Jammu & Kashmir,Plough,https://www.strongspace.com/shared/ciklhs4jks
Jammu & Kashmir National Panthers Party,JKNPP,Jammu & Kashmir,Bicycle,https://www.strongspace.com/shared/l8byaed6cr
Jammu and Kashmir People's Democratic Party,JKPDP,Jammu & Kashmir,Inkpot and pen,https://www.strongspace.com/shared/bmgqz44czq
Janata Dal (Secular),JD(S),"Karnataka, Kerala",Lady farmer carrying paddy on her head,https://www.strongspace.com/shared/xz9vblatsq
Janata Dal (United),JD(U),Bihar,Arrow,https://www.strongspace.com/shared/u4eg7zg120
Jharkhand Mukti Morcha,JMM,Jharkhand,Bow and arrow,https://www.strongspace.com/shared/o1adt3s9x5
Jharkhand Vikas Morcha (Prajatantrik),JVM(P),Jharkhand,Comb,https://www.strongspace.com/shared/bfzezvwpcc
Karnataka Janata Paksha,KJP,Karnataka,symbol not decided yet,https://www.strongspace.com/shared/mnyn8l5xt3
Kerala Congress (M),KC(M),Kerala,Two leaves,https://www.strongspace.com/shared/vz07wasngt
Lok Janshakti Party,LJP,Bihar,Bunglow,https://www.strongspace.com/shared/zl04s0i64i
Maharashtrawadi Gomantak Party,MGP,Goa,Lion,https://www.strongspace.com/shared/f2lb6b06ku
Mizo National Front,MNF,Mizoram,Star,https://www.strongspace.com/shared/joxgjqfhxb
Maharashtra Navnirman Sena,MNS,Maharashtra,Railway engine,https://www.strongspace.com/shared/qzm1t5dir6
Mizoram People's Conference,MPC,Mizoram,Electric Bulb,https://www.strongspace.com/shared/7gci1rmv81
Naga People's Front,NPF,"Manipur, Nagaland",Rooster,https://www.strongspace.com/shared/2hv196peu4
National People's Party,NPP,"Meghalaya, Manipur",Book,https://www.strongspace.com/shared/veif22z1uk
Pattali Makkal Katchi,PMK,Puducherry,Mango,https://www.strongspace.com/shared/fzs8tuskry
Peoples Democratic Alliance,PDA,Manipur,Crown,https://www.strongspace.com/shared/zy96ap11js
People's Party of Arunachal,PPA,Arunachal Pradesh,Maize,https://www.strongspace.com/shared/20332d5gvk
Rashtriya Janata Dal,RJD,"Bihar, Jharkhand",Hurricane Lamp,https://www.strongspace.com/shared/20mjgbcc62
Rashtriya Lok Dal,RLD,Uttar Pradesh,Hand pump,https://www.strongspace.com/shared/4zk5hkna0f
Rashtriya Lok Samta Party,RLSP,Bihar,Ceiling fan,https://www.strongspace.com/shared/2tbkcfnp7w
Revolutionary Socialist Party,RSP,"Kerala, West Bengal",Spade and stoker,https://www.strongspace.com/shared/7qhpmbw1su
Samajwadi Party,SP,Uttar Pradesh,Bicycle,https://www.strongspace.com/shared/teih58vldd
Shiromani Akali Dal,SAD,Punjab,Scale,https://www.strongspace.com/shared/ck40epxhdl
Shiv Sena,SS,Maharashtra,Bow and arrow,https://www.strongspace.com/shared/y9clz6v5jj
Sikkim Democratic Front,SDF,Sikkim,Umbrella,https://www.strongspace.com/shared/wqz6cfvu1b
Sikkim Krantikari Morcha,SKM,Sikkim,Table lamp,https://www.strongspace.com/shared/i92jxfqji4
Telangana Rashtra Samithi,TRS,"Telangana, Andhra Pradesh",Car,https://www.strongspace.com/shared/hox13li6z9
Telugu Desam Party,TDP,"Andhra Pradesh, Telangana",Bicycle,https://www.strongspace.com/shared/ndvzqlvll1
United Democratic Party,UDP,Meghalaya,Drum,https://www.strongspace.com/shared/v4as65a2o2
YSR Congress Party,YSRCP,"Andhra Pradesh, Telangana",Ceiling fan,https://www.strongspace.com/shared/7cthmw99cb
Karnataka Pragnyavanta Janatha Party[10],KPJP,Karnataka,Auto Rickshaw,https://www.strongspace.com/shared/7ig9o7vr9a
Naam Tamilar Katchi,NTK,"Tamil Nadu,Puducherry",Candles,https://www.strongspace.com/shared/l34x7hb2ip